NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32 , 146 , 233 , 328 , 452 , 391 , 401 , 463 , 488 , 661 , 702 , 764 ," 1,039 "," 1,138 "," 1,319 "," 1,501 "," 1,470 "," 1,614 "," 1,778 "," 2,020 "," 2,137 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 103 , 165 , 234 , 324 , 283 , 288 , 331 , 348 , 471 , 502 , 544 , 726 , 795 , 920 ," 1,032 "," 1,014 "," 1,197 "," 1,641 "," 1,877 "," 1,966 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 44 , 68 , 94 , 128 , 108 , 113 , 132 , 141 , 190 , 200 , 220 , 313 , 343 , 399 , 470 , 456 , 418 , 137 , 143 , 171 
         Department of Defense, 25 , 26 , 27 , 29 , 27 , 26 , 34 , 41 , 44 , 46 , 50 , 60 , 78 , 80 , 76 , 77 , 77 , 81 , 87 , 97 , 111 , 127 , 142 , 146 , 157 , 183 , 200 , 213 , 225 , 239 , 263 , 292 , 294 , 305 , 303 , 309 , 305 , 309 , 321 , 323 , 345 , 409 , 530 , 696 , 870 , 952 ," 1,105 "," 1,226 "," 1,278 "," 1,381 "," 1,488 "," 1,596 "," 1,590 "," 1,520 "," 1,641 "," 1,723 "," 1,656 "," 1,612 "," 1,626 "
         Department of Veterans Affairs, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 9 , 26 , 43 , 51 , 52 , 44 , 53 , 56 , 44 , 45 , 40 , 49 , 45 , 30 , 18 , 13 , 12 , 11 , 10 , 10 , 8 , 8 , 10 , 14 , 12 , 11 , 12 , 12 , 12 , 11 , 10 , 11 , 12 , 13 , 17 , 26 , 44 , 68 , 62 , 65 , 77 , 73 , 80 , 75 , 99 , 121 , 191 , 200 , 209 , 244 
     Other Third Party Payers and Programs, 16 , 21 , 23 , 25 , 30 , 32 , 19 , 12 , 20 , 23 , 21 , 24 , 29 , 35 , 45 , 58 , 70 , 86 , 94 , 101 , 113 , 142 , 148 , 153 , 161 , 187 , 188 , 189 , 185 , 192 , 180 , 201 , 224 , 238 , 256 , 264 , 290 , 312 , 307 , 307 , 346 , 333 , 317 , 285 , 314 , 329 , 351 , 382 , 422 , 487 , 535 , 506 , 522 , 480 , 466 , 460 , 463 , 504 , 560 
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 7 , 11 , 15 , 19 , 22 , 27 , 27 , 39 , 43 , 44 , 51 , 73 , 81 , 86 , 80 , 84 , 61 , 65 , 68 , 74 , 80 , 82 , 120 , 130 , 134 , 142 , 173 , 141 , 70 , 43 , 49 , 56 , 61 , 64 , 71 , 78 , 78 , 78 , 93 , 77 , 73 , 74 , 85 , 137 , 171 
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 14 , 16 , 19 , 21 , 22 , 25 , 25 , 27 , 32 , 35 , 33 , 34 , 37 , 34 , 40 , 54 , 66 , 67 , 69 , 78 , 76 , 82 , 82 , 87 , 99 , 112 , 110 , 120 , 129 , 133 , 143 , 146 , 157 , 174 , 189 , 192 , 200 , 198 , 204 , 207 , 213 , 214 , 221 
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3 , 8 , 9 , 11 , 13 , 16 , 19 , 23 , 24 , 28 , 37 , 37 , 37 , 47 , 60 , 62 , 64 , 62 , 60 , 55 , 47 , 46 , 52 , 58 , 60 , 64 , 70 , 79 , 76 , 65 , 70 , 61 , 46 , 41 , 45 , 100 , 86 , 100 , 105 , 113 , 134 , 154 , 198 , 231 , 194 , 178 , 155 , 154 , 146 , 135 , 120 , 135 
         Maternal/Child Health, 2 , 3 , 3 , 3 , 2 , 2 , 3 , 6 , 8 , 9 , 8 , 10 , 11 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 18 , 18 , 18 , 18 , 17 , 20 , 20 , 22 , 22 , 22 , 21 , 23 , 26 , 26 , 27 , 28 , 28 , 30 , 30 , 32 , 34 , 35 , 36 , 35 , 35 , 35 , 34 , 38 , 41 , 37 , 36 , 34 , 31 , 32 , 33 , 32 , 31 , 32 , 33 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 4 , 5 , 6 , 5 , 6 , 8 , 6 , 8 , 9 , 9 , 10 , 10 , 11 , 11 , 11 , 11 , 11 , 9 , 11 , 10 , 11 , 11 , 11 , 10 , 11 , 12 , 12 , 12 , 12 , 11 , 12 , 12 , 12 , 12 , 13 , 13 , 12 , 12 , 12 , 12 , 12 , 12 , 11 , 11 , 11 , 10 , 10 , 10 , 10 , 9 , 10 , 10 
                          State and Local, 1 , 2 , 2 , 2 , 1 , 1 , 1 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 7 , 7 , 7 , 7 , 8 , 9 , 10 , 11 , 11 , 11 , 11 , 12 , 14 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 23 , 23 , 23 , 22 , 26 , 29 , 26 , 25 , 24 , 21 , 22 , 23 , 23 , 21 , 23 , 23 
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 7 , 10 , 11 , 13 , 14 , 13 , 7 , 3 , 3 , 3 , 1 , 2 , 2 , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 20 , 19 , 2 , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 6 , 8 , 8 , 9 , 13 , 16 , 7 , 1 , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 43 , 138 , 201 , 168 , 162 , 179 , 183 , 228 , 295 , 364 , 390 , 424 , 392 , 440 , 503 , 581 , 485 , 501 , 456 , 511 , 555 , 593 , 619 , 640 , 758 , 961 ," 1,213 "," 1,708 "," 1,782 "," 1,860 "," 1,946 "," 2,064 "," 2,260 "," 2,404 "," 2,715 "," 3,503 "," 4,240 "," 4,495 "," 4,735 "," 5,122 "," 5,373 "," 6,037 "," 7,151 "," 8,698 "," 9,681 "," 9,891 "," 10,267 "," 10,795 "," 11,811 "," 13,545 "," 14,371 "," 15,390 "," 16,109 "
Total Other Professional Services Expenditures, 392 , 409 , 429 , 451 , 486 , 533 , 572 , 608 , 644 , 678 , 726 , 793 , 893 ," 1,022 "," 1,163 "," 1,337 "," 1,564 "," 2,058 "," 2,403 "," 2,847 "," 3,478 "," 4,273 "," 4,917 "," 5,651 "," 7,328 "," 8,113 "," 9,284 "," 11,329 "," 13,722 "," 14,499 "," 17,278 "," 18,559 "," 20,860 "," 22,956 "," 23,974 "," 26,671 "," 28,857 "," 31,275 "," 33,424 "," 34,614 "," 36,647 "," 40,266 "," 43,338 "," 46,523 "," 50,211 "," 52,795 "," 55,264 "," 60,055 "," 64,486 "," 67,037 "," 69,889 "," 72,794 "," 76,429 "," 78,742 "," 82,960 "," 87,849 "," 92,679 "," 97,527 "," 103,894 "
     Out of pocket, 341 , 343 , 351 , 361 , 383 , 395 , 389 , 375 , 364 , 348 , 324 , 287 , 310 , 393 , 440 , 643 , 743 ," 1,021 "," 1,200 "," 1,394 "," 1,699 "," 2,017 "," 2,243 "," 2,470 "," 3,183 "," 3,301 "," 3,596 "," 4,274 "," 5,132 "," 5,199 "," 6,136 "," 6,287 "," 6,867 "," 7,299 "," 7,291 "," 7,797 "," 8,090 "," 9,098 "," 9,765 "," 10,446 "," 10,934 "," 11,637 "," 12,355 "," 13,063 "," 13,834 "," 14,190 "," 14,820 "," 16,189 "," 17,184 "," 17,295 "," 17,975 "," 18,630 "," 19,422 "," 19,817 "," 20,963 "," 22,000 "," 23,082 "," 24,377 "," 26,128 "
     Health Insurance, 8 , 12 , 16 , 20 , 25 , 30 , 49 , 75 , 84 , 86 , 100 , 128 , 161 , 223 , 286 , 418 , 513 , 690 , 801 , 972 ," 1,207 "," 1,559 "," 1,863 "," 2,241 "," 2,986 "," 3,389 "," 4,016 "," 5,065 "," 6,270 "," 6,730 "," 8,339 "," 9,197 "," 10,561 "," 11,989 "," 12,852 "," 14,793 "," 16,458 "," 17,581 "," 19,076 "," 19,583 "," 21,136 "," 23,885 "," 26,027 "," 28,535 "," 31,126 "," 33,175 "," 34,883 "," 37,773 "," 40,881 "," 43,354 "," 45,278 "," 47,427 "," 49,992 "," 52,002 "," 54,946 "," 58,730 "," 62,187 "," 65,869 "," 70,416 "
          Private Health Insurance, 8 , 12 , 16 , 20 , 25 , 30 , 34 , 37 , 40 , 42 , 43 , 49 , 65 , 99 , 130 , 219 , 288 , 445 , 550 , 672 , 859 ," 1,133 "," 1,391 "," 1,681 "," 2,366 "," 2,668 "," 3,150 "," 4,043 "," 5,115 "," 5,452 "," 6,761 "," 7,272 "," 8,328 "," 9,273 "," 9,694 "," 10,840 "," 11,751 "," 12,435 "," 12,741 "," 13,375 "," 14,089 "," 15,520 "," 16,896 "," 18,512 "," 19,797 "," 20,376 "," 21,203 "," 23,140 "," 24,384 "," 24,542 "," 25,414 "," 26,553 "," 27,884 "," 28,184 "," 28,824 "," 30,219 "," 32,168 "," 33,369 "," 35,129 "
          Medicare, -   , -   , -   , -   , -   , -   , 3 , 10 , 13 , 15 , 18 , 22 , 27 , 34 , 47 , 63 , 74 , 87 , 106 , 131 , 167 , 201 , 259 , 332 , 383 , 465 , 568 , 680 , 794 , 913 ," 1,132 "," 1,376 "," 1,639 "," 1,882 "," 2,299 "," 2,937 "," 3,500 "," 3,835 "," 5,004 "," 4,727 "," 5,406 "," 6,461 "," 6,743 "," 7,469 "," 8,288 "," 9,449 "," 10,212 "," 10,957 "," 12,383 "," 13,763 "," 14,536 "," 15,676 "," 16,892 "," 18,206 "," 19,608 "," 21,277 "," 22,449 "," 24,612 "," 27,195 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 11 , 28 , 31 , 29 , 40 , 56 , 69 , 90 , 108 , 136 , 150 , 158 , 144 , 169 , 181 , 225 , 214 , 228 , 238 , 256 , 298 , 342 , 362 , 366 , 445 , 549 , 594 , 834 , 859 ," 1,016 "," 1,207 "," 1,311 "," 1,324 "," 1,438 "," 1,585 "," 1,829 "," 2,268 "," 2,442 "," 2,935 "," 3,229 "," 3,295 "," 3,524 "," 3,951 "," 4,874 "," 5,160 "," 4,994 "," 4,990 "," 5,359 "," 6,263 "," 6,942 "," 7,240 "," 7,509 "," 7,694 "
                          Federal  , -   , -   , -   , -   , -   , -   , 6 , 14 , 16 , 16 , 21 , 32 , 37 , 47 , 61 , 75 , 86 , 89 , 80 , 95 , 98 , 121 , 115 , 123 , 128 , 138 , 162 , 187 , 202 , 204 , 249 , 304 , 344 , 502 , 499 , 579 , 693 , 748 , 761 , 831 , 912 ," 1,044 "," 1,286 "," 1,456 "," 1,716 "," 1,834 "," 1,875 "," 2,024 "," 2,397 "," 3,293 "," 3,572 "," 3,098 "," 2,900 "," 3,089 "," 3,932 "," 4,499 "," 4,731 "," 4,819 "," 4,931 "
                          State and Local, -   , -   , -   , -   , -   , -   , 6 , 15 , 15 , 13 , 18 , 24 , 31 , 43 , 47 , 61 , 65 , 68 , 64 , 75 , 84 , 104 , 99 , 105 , 109 , 118 , 136 , 154 , 160 , 162 , 197 , 245 , 250 , 332 , 361 , 437 , 515 , 563 , 563 , 607 , 673 , 786 , 981 , 985 ," 1,219 "," 1,395 "," 1,420 "," 1,500 "," 1,554 "," 1,581 "," 1,588 "," 1,896 "," 2,090 "," 2,270 "," 2,331 "," 2,444 "," 2,509 "," 2,690 "," 2,763 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 42 , 56 , 74 , 120 , 113 , 106 , 121 , 173 , 153 , 163 , 175 , 168 , 205 , 226 , 253 , 252 , 291 , 330 , 380 , 399 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 29 , 40 , 52 , 83 , 78 , 74 , 84 , 118 , 106 , 115 , 123 , 119 , 144 , 158 , 175 , 176 , 218 , 303 , 349 , 369 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 13 , 16 , 22 , 37 , 34 , 32 , 37 , 55 , 47 , 49 , 52 , 49 , 61 , 68 , 78 , 76 , 73 , 27 , 31 , 30 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs, 43 , 54 , 62 , 70 , 78 , 108 , 134 , 157 , 195 , 243 , 301 , 378 , 422 , 406 , 437 , 276 , 308 , 347 , 402 , 480 , 572 , 697 , 811 , 940 ," 1,158 "," 1,423 "," 1,672 "," 1,991 "," 2,319 "," 2,570 "," 2,804 "," 3,075 "," 3,431 "," 3,668 "," 3,831 "," 4,080 "," 4,309 "," 4,596 "," 4,583 "," 4,585 "," 4,578 "," 4,744 "," 4,956 "," 4,925 "," 5,252 "," 5,430 "," 5,561 "," 6,092 "," 6,421 "," 6,388 "," 6,637 "," 6,736 "," 7,015 "," 6,923 "," 7,051 "," 7,118 "," 7,410 "," 7,281 "," 7,350 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 11 , 12 , 13 , 14 , 16 , 19 , 22 , 23 , 26 , 30 , 34 , 38 , 45 , 54 , 64 , 77 , 93 , 117 , 158 , 214 , 275 , 371 , 448 , 536 , 676 , 862 ," 1,025 "," 1,214 "," 1,402 "," 1,578 "," 1,685 "," 1,850 "," 2,054 "," 2,220 "," 2,411 "," 2,619 "," 2,805 "," 2,994 "," 2,912 "," 2,816 "," 2,741 "," 2,749 "," 2,895 "," 2,775 "," 3,071 "," 3,290 "," 3,467 "," 3,798 "," 3,920 "," 4,009 "," 4,237 "," 4,296 "," 4,557 "," 4,369 "," 4,512 "," 4,655 "," 5,018 "," 4,875 "," 4,932 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, 13 , 14 , 15 , 16 , 17 , 18 , 20 , 23 , 25 , 29 , 32 , 35 , 38 , 46 , 54 , 62 , 73 , 86 , 99 , 117 , 134 , 152 , 177 , 202 , 246 , 284 , 330 , 397 , 482 , 557 , 655 , 713 , 790 , 822 , 769 , 779 , 799 , 846 , 912 , 978 ," 1,023 "," 1,135 "," 1,181 "," 1,254 "," 1,259 "," 1,233 "," 1,202 "," 1,271 "," 1,407 "," 1,340 "," 1,382 "," 1,453 "," 1,473 "," 1,508 "," 1,495 "," 1,444 "," 1,421 "," 1,388 "," 1,370 "
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 2 , 3 , 3 , 4 , 4 , 5 , 6 , 7 , 7 , 7 , 10 , 14 , 21 , 26 , 41 , 45 , 39 , 42 , 48 , 51 , 59 , 54 , 46 , 41 , 36 , 54 , 49 , 57 , 56 , 58 , 79 , 82 , 92 , 109 , 67 , 77 , 65 , 43 , 39 , 71 , 87 , 85 , 69 , 60 , 61 
         Maternal/Child Health, 16 , 26 , 29 , 33 , 38 , 46 , 60 , 77 , 92 , 102 , 102 , 116 , 126 , 120 , 127 , 134 , 137 , 138 , 139 , 143 , 156 , 165 , 177 , 193 , 224 , 262 , 293 , 351 , 391 , 386 , 422 , 467 , 536 , 571 , 589 , 624 , 655 , 710 , 719 , 733 , 762 , 799 , 818 , 832 , 836 , 818 , 792 , 907 ," 1,019 ", 955 , 943 , 900 , 850 , 880 , 938 , 925 , 892 , 948 , 978 
                          Federal  , 4 , 7 , 8 , 9 , 11 , 16 , 27 , 39 , 50 , 53 , 46 , 59 , 70 , 63 , 70 , 77 , 79 , 79 , 80 , 79 , 79 , 81 , 84 , 94 , 94 , 110 , 112 , 133 , 149 , 149 , 157 , 166 , 188 , 193 , 194 , 197 , 197 , 201 , 201 , 203 , 203 , 208 , 212 , 210 , 211 , 205 , 196 , 201 , 203 , 200 , 199 , 199 , 193 , 188 , 194 , 194 , 193 , 196 , 201 
                          State and Local, 12 , 19 , 21 , 25 , 28 , 30 , 33 , 37 , 43 , 49 , 56 , 57 , 56 , 57 , 57 , 57 , 58 , 59 , 59 , 64 , 77 , 83 , 93 , 99 , 130 , 152 , 182 , 218 , 242 , 238 , 265 , 300 , 349 , 378 , 395 , 427 , 458 , 508 , 518 , 531 , 559 , 591 , 606 , 623 , 625 , 613 , 596 , 706 , 816 , 755 , 743 , 701 , 656 , 692 , 743 , 731 , 699 , 752 , 776 
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 1 , 1 , 3 , 4 , 3 , 19 , 28 , 33 , 50 , 82 , 133 , 187 , 210 , 184 , 190 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 36 , 88 , 85 , 11 , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 2 , 2 , 3 , 3 , 4 , 5 , 3 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 5 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 8 , 8 , 8 , 9 , 9 , 9 , 10 , 10 , 10 , 10 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 15 , 38 , 44 , 44 , 58 , 78 , 96 , 124 , 156 , 199 , 225 , 245 , 251 , 300 , 349 , 426 , 472 , 560 , 620 , 721 , 866 ," 1,022 "," 1,155 "," 1,278 "," 1,578 "," 1,925 "," 2,233 "," 2,716 "," 3,158 "," 3,953 "," 4,707 "," 5,145 "," 6,335 "," 6,208 "," 7,047 "," 8,364 "," 9,131 "," 10,023 "," 11,329 "," 12,799 "," 13,679 "," 14,633 "," 16,497 "," 18,812 "," 19,864 "," 20,874 "," 22,108 "," 23,818 "," 26,123 "," 28,511 "," 30,019 "," 32,501 "," 35,288 "
Total Home Health Care Expenditures, 57 , 61 , 65 , 69 , 75 , 89 , 108 , 164 , 238 , 272 , 220 , 194 , 220 , 276 , 423 , 623 , 896 ," 1,147 "," 1,556 "," 1,899 "," 2,378 "," 2,938 "," 3,482 "," 4,237 "," 5,129 "," 5,633 "," 6,368 "," 6,636 "," 8,406 "," 10,213 "," 12,534 "," 15,135 "," 18,690 "," 22,748 "," 27,307 "," 32,270 "," 35,716 "," 36,885 "," 34,072 "," 32,756 "," 32,294 "," 34,271 "," 36,465 "," 40,179 "," 44,641 "," 49,343 "," 52,052 "," 57,475 "," 62,339 "," 67,705 "," 71,595 "," 74,613 "," 78,275 "," 81,355 "," 84,755 "," 89,232 "," 92,982 "," 97,131 "," 102,191 "
     Out of pocket, 7 , 8 , 8 , 8 , 9 , 11 , 13 , 14 , 21 , 24 , 21 , 19 , 23 , 29 , 47 , 79 , 119 , 152 , 229 , 283 , 363 , 437 , 513 , 625 , 769 , 885 ," 1,095 "," 1,140 "," 1,641 "," 1,954 "," 2,236 "," 2,537 "," 3,004 "," 3,632 "," 4,137 "," 5,151 "," 5,955 "," 6,339 "," 6,986 "," 6,778 "," 6,201 "," 6,310 "," 6,004 "," 5,962 "," 6,138 "," 6,475 "," 5,806 "," 5,640 "," 5,811 "," 5,773 "," 6,019 "," 6,838 "," 7,250 "," 7,813 "," 8,049 "," 8,255 "," 8,505 "," 9,153 "," 10,155 "
